tick,receipt_index,side,askedAmount,askedPrice,contractedAmount,contractedPrice,instantAmount
1,0,flat,0.0,0.0,0.0,0.0,0.5686642477613368
2,0,flat,0.0,0.0,0.0,0.0,-20.480814831661334
3,0,flat,0.0,0.0,0.0,0.0,-10.407099962746177
4,0,flat,0.0,0.0,0.0,0.0,-17.217263109911844
5,0,flat,0.0,0.0,0.0,0.0,-11.812318206380208
6,0,flat,0.0,0.0,0.0,0.0,-10.998459555965583
7,0,flat,0.0,0.0,0.0,0.0,-19.49021389369699
8,0,flat,0.0,0.0,0.0,0.0,-7.661287236795882
9,0,flat,0.0,0.0,0.0,0.0,-17.706699238194652
10,0,flat,0.0,0.0,0.0,0.0,-8.019965344281248
11,0,flat,0.0,0.0,0.0,0.0,-15.902950252973305
12,0,flat,0.0,0.0,0.0,0.0,-5.331942369768322
13,0,flat,0.0,0.0,0.0,0.0,-14.06488292245957
14,0,flat,0.0,0.0,0.0,0.0,-4.649615758826879
15,0,flat,0.0,0.0,0.0,0.0,-4.589464783694272
16,0,flat,0.0,0.0,0.0,0.0,-10.518729235612991
17,0,flat,0.0,0.0,0.0,0.0,-7.429922913494746
18,0,flat,0.0,0.0,0.0,0.0,-12.381447812334503
19,0,flat,0.0,0.0,0.0,0.0,-17.214009891279353
20,0,flat,0.0,0.0,0.0,0.0,-14.82476674756661
21,0,flat,0.0,0.0,0.0,0.0,-20.05818384075681
22,0,flat,0.0,0.0,0.0,0.0,-17.963972519099478
23,0,flat,0.0,0.0,0.0,0.0,-24.40999436201891
24,0,flat,0.0,0.0,0.0,0.0,-24.99036945728833
25,0,flat,0.0,0.0,0.0,0.0,-24.64902596409179
26,0,flat,0.0,0.0,0.0,0.0,-23.363165167424093
27,0,flat,0.0,0.0,0.0,0.0,-21.723299565449008
28,0,flat,0.0,0.0,0.0,0.0,-21.955966999809515
29,0,flat,0.0,0.0,0.0,0.0,-27.702911839906093
30,0,flat,0.0,0.0,0.0,0.0,-22.51401548209632
31,0,flat,0.0,0.0,0.0,0.0,-22.6561740423208
32,0,flat,0.0,0.0,0.0,0.0,-23.2118768051615
33,0,flat,0.0,0.0,0.0,0.0,-23.616083711408862
34,0,flat,0.0,0.0,0.0,0.0,-25.614189395882455
35,0,flat,0.0,0.0,0.0,0.0,-21.873637796157798
36,0,flat,0.0,0.0,0.0,0.0,-21.781029351653284
37,0,flat,0.0,0.0,0.0,0.0,-18.704132794028887
38,0,flat,0.0,0.0,0.0,0.0,-14.509710321572587
39,0,flat,0.0,0.0,0.0,0.0,-14.432191007588944
40,0,flat,0.0,0.0,0.0,0.0,-14.817057421369626
41,0,flat,0.0,0.0,0.0,0.0,-15.650238778561501
42,0,flat,0.0,0.0,0.0,0.0,-16.308169093855298
43,0,flat,0.0,0.0,0.0,0.0,-9.914090221462043
44,0,flat,0.0,0.0,0.0,0.0,-10.01530277988255
45,0,flat,0.0,0.0,0.0,0.0,-7.437045234667671
46,0,flat,0.0,0.0,0.0,0.0,-9.00848094736871
47,0,flat,0.0,0.0,0.0,0.0,-9.386274887027334
48,0,flat,0.0,0.0,0.0,0.0,-11.178260707688974
49,0,flat,0.0,0.0,0.0,0.0,-6.971641464242731
50,0,flat,0.0,0.0,0.0,0.0,-6.891639496631136
