tick,id,type,contract,address,path,generated,consumed,income,loss,charge_now,wind_rotation,failed
0,"('solar', 8)",solar,20.0,s1,"[[[[""main"", 10], 1], [[""miniA"", 12], 1]]]",0.0,0.0,0.0,0.0,,,0
0,"('houseA', 8)",houseA,20.0,h1,"[[[[""main"", 10], 3], [[""miniA"", 1], 1]]]",0.0,0.0,0.0,0.0,,,0
0,"('main', 10)",main,4.0,M2,[[]],0.0,0.0,0.0,0.0,,,0
0,"('miniA', 1)",miniA,10.0,e1,"[[[[""main"", 10], 3]]]",0.0,0.0,0.0,0.0,,,0
0,"('storage', 3)",storage,20.0,c1,"[[[[""main"", 10], 3], [[""miniA"", 1], 1]]]",0.0,0.0,0.0,0.0,60.0,,0
0,"('solar', 14)",solar,50.0,s7,"[[[[""main"", 10], 1], [[""miniA"", 12], 3]]]",0.0,0.0,0.0,0.0,,,0
0,"('solar', 15)",solar,50.0,s8,"[[[[""main"", 10], 1], [[""miniA"", 12], 3]]]",0.0,0.0,0.0,0.0,,,0
0,"('houseB', 3)",houseB,1.0,d1,"[[[[""main"", 10], 2]]]",0.0,0.0,0.0,0.0,,,0
0,"('hospital', 4)",hospital,1.0,b1|b2,"[[[[""main"", 10], 3], [[""miniA"", 1], 3]]]",0.0,0.0,0.0,0.0,,,0
0,"('houseB', 5)",houseB,1.0,d2,"[[[[""main"", 10], 3], [[""miniA"", 1], 2]]]",0.0,0.0,0.0,0.0,,,0
0,"('factory', 6)",factory,1.0,f3|f4,"[[[[""main"", 10], 3], [[""miniA"", 1], 2]]]",0.0,0.0,0.0,0.0,,,0
0,"('miniA', 12)",miniA,15.0,e4,"[[[[""main"", 10], 1]]]",0.0,0.0,0.0,0.0,,,0
0,"('wind', 12)",wind,50.0,a6,"[[[[""main"", 10], 1], [[""miniA"", 12], 3]]]",0.0,0.0,0.0,0.0,,0.0,0
0,"('wind', 14)",wind,50.0,a8,"[[[[""main"", 10], 1], [[""miniA"", 12], 2]]]",0.0,0.0,0.0,0.0,,0.0,0
0,"('office', 17)",office,1.5,o9,"[[[[""main"", 10], 2]]]",0.0,0.0,0.0,0.0,,,0
1,"('houseA', 8)",houseA,20.0,h1,"[[[[""main"", 10], 3], [[""miniA"", 1], 1]]]",0.0,0.0,20.0,0.0,,,0
1,"('houseB', 3)",houseB,1.0,d1,"[[[[""main"", 10], 2]]]",0.0,0.0,1.0,0.0,,,0
1,"('houseB', 5)",houseB,1.0,d2,"[[[[""main"", 10], 3], [[""miniA"", 1], 2]]]",0.0,0.0,1.0,0.0,,,0
1,"('miniA', 1)",miniA,10.0,e1,"[[[[""main"", 10], 3]]]",0.0,0.0,0.0,10.0,,,0
1,"('miniA', 12)",miniA,15.0,e4,"[[[[""main"", 10], 1]]]",0.0,0.0,0.0,15.0,,,0
1,"('office', 17)",office,1.5,o9,"[[[[""main"", 10], 2]]]",0.0,0.0,1.5,0.0,,,0
1,"('main', 10)",main,4.0,M2,[[]],0.0,0.0,0.0,4.0,,,0
1,"('solar', 8)",solar,20.0,s1,"[[[[""main"", 10], 1], [[""miniA"", 12], 1]]]",0.0,0.0,0.0,20.0,,,0
1,"('solar', 14)",solar,50.0,s7,"[[[[""main"", 10], 1], [[""miniA"", 12], 3]]]",0.0,0.0,0.0,50.0,,,0
1,"('solar', 15)",solar,50.0,s8,"[[[[""main"", 10], 1], [[""miniA"", 12], 3]]]",0.0,0.0,0.0,50.0,,,0
1,"('wind', 12)",wind,50.0,a6,"[[[[""main"", 10], 1], [[""miniA"", 12], 3]]]",0.42056341191371116,0.0,0.0,50.0,,0.125,6
1,"('wind', 14)",wind,50.0,a8,"[[[[""main"", 10], 1], [[""miniA"", 12], 2]]]",1.6874743091483289,0.0,0.0,50.0,,0.2060546875,6
1,"('hospital', 4)",hospital,1.0,b1|b2,"[[[[""main"", 10], 3], [[""miniA"", 1], 3]]]",0.0,0.0,1.0,0.0,,,0
1,"('factory', 6)",factory,1.0,f3|f4,"[[[[""main"", 10], 3], [[""miniA"", 1], 2]]]",0.0,0.0,1.0,0.0,,,0
1,"('storage', 3)",storage,20.0,c1,"[[[[""main"", 10], 3], [[""miniA"", 1], 1]]]",0.0,0.0,0.0,20.0,60.0,,0
2,"('houseA', 8)",houseA,20.0,h1,"[[[[""main"", 10], 3], [[""miniA"", 1], 1]]]",0.0,0.0,20.0,0.0,,,0
2,"('houseB', 3)",houseB,1.0,d1,"[[[[""main"", 10], 2]]]",0.0,0.0,1.0,0.0,,,0
2,"('houseB', 5)",houseB,1.0,d2,"[[[[""main"", 10], 3], [[""miniA"", 1], 2]]]",0.0,0.0,1.0,0.0,,,0
2,"('miniA', 1)",miniA,10.0,e1,"[[[[""main"", 10], 3]]]",0.0,0.0,0.0,10.0,,,0
2,"('miniA', 12)",miniA,15.0,e4,"[[[[""main"", 10], 1]]]",0.0,0.0,0.0,15.0,,,0
2,"('office', 17)",office,1.5,o9,"[[[[""main"", 10], 2]]]",0.0,0.0,1.5,0.0,,,0
2,"('main', 10)",main,4.0,M2,[[]],0.0,0.0,0.0,4.0,,,0
2,"('solar', 8)",solar,20.0,s1,"[[[[""main"", 10], 1], [[""miniA"", 12], 1]]]",0.0,0.0,0.0,20.0,,,0
2,"('solar', 14)",solar,50.0,s7,"[[[[""main"", 10], 1], [[""miniA"", 12], 3]]]",0.0,0.0,0.0,50.0,,,0
2,"('solar', 15)",solar,50.0,s8,"[[[[""main"", 10], 1], [[""miniA"", 12], 3]]]",0.0,0.0,0.0,50.0,,,0
2,"('wind', 12)",wind,50.0,a6,"[[[[""main"", 10], 1], [[""miniA"", 12], 3]]]",6.595089094889282,0.0,0.0,50.0,,0.4169921875,6
2,"('wind', 14)",wind,50.0,a8,"[[[[""main"", 10], 1], [[""miniA"", 12], 2]]]",4.7953314293036895,0.0,0.0,50.0,,0.484375,6
2,"('hospital', 4)",hospital,1.0,b1|b2,"[[[[""main"", 10], 3], [[""miniA"", 1], 3]]]",0.0,0.0,1.0,0.0,,,0
2,"('factory', 6)",factory,1.0,f3|f4,"[[[[""main"", 10], 3], [[""miniA"", 1], 2]]]",0.0,0.0,1.0,0.0,,,0
2,"('storage', 3)",storage,20.0,c1,"[[[[""main"", 10], 3], [[""miniA"", 1], 1]]]",11.859000000000002,0.0,0.0,20.0,48.141,,0
3,"('houseA', 8)",houseA,20.0,h1,"[[[[""main"", 10], 3], [[""miniA"", 1], 1]]]",0.0,0.0,20.0,0.0,,,0
3,"('houseB', 3)",houseB,1.0,d1,"[[[[""main"", 10], 2]]]",0.0,0.0,1.0,0.0,,,0
3,"('houseB', 5)",houseB,1.0,d2,"[[[[""main"", 10], 3], [[""miniA"", 1], 2]]]",0.0,0.0,1.0,0.0,,,0
3,"('miniA', 1)",miniA,10.0,e1,"[[[[""main"", 10], 3]]]",0.0,0.0,0.0,10.0,,,0
