tick,metric,forecast,actual,error,abs_error
80,hospital,3.852787,0.995707,-2.857081,2.857081
80,factory,6.893565,0.931579,-5.961986,5.961986
80,office,3.962303,0.0,-3.962303,3.962303
80,houseA,4.759729,0.648585,-4.111144,4.111144
80,houseB,5.175849,1.860888,-3.314961,3.314961
80,sun,14.342504,14.01572,-0.326784,0.326784
80,wind,10.708718,10.708718,0.0,0.0
81,hospital,4.057758,1.006663,-3.051094,3.051094
81,factory,6.671326,0.874485,-5.796842,5.796842
81,office,4.38087,0.0,-4.38087,4.38087
81,houseA,5.314276,0.728272,-4.586005,4.586005
81,houseB,5.175567,1.856925,-3.318642,3.318642
81,sun,14.496079,14.417537,-0.078541,0.078541
81,wind,11.738339,11.738339,0.0,0.0
82,hospital,3.986881,1.118797,-2.868084,2.868084
82,factory,5.834665,0.865076,-4.969589,4.969589
82,office,4.228023,0.0,-4.228023,4.228023
82,houseA,5.321797,0.822159,-4.499638,4.499638
82,houseB,5.328228,2.153812,-3.174416,3.174416
82,sun,13.77149,13.374021,-0.397469,0.397469
82,wind,11.81909,11.81909,0.0,0.0
83,hospital,3.901938,1.050691,-2.851247,2.851247
83,factory,5.695071,0.79957,-4.8955,4.8955
83,office,4.227877,0.0,-4.227877,4.227877
83,houseA,5.637952,0.823561,-4.814391,4.814391
83,houseB,5.515355,2.106258,-3.409097,3.409097
83,sun,12.80173,12.652258,-0.149472,0.149472
83,wind,11.783849,11.783849,0.0,0.0
84,hospital,3.833353,1.01847,-2.814884,2.814884
84,factory,5.282508,0.741698,-4.540811,4.540811
84,office,4.494524,0.0,-4.494524,4.494524
84,houseA,5.596914,0.817453,-4.779462,4.779462
84,houseB,5.692427,2.175069,-3.517358,3.517358
84,sun,11.301072,11.694292,0.39322,0.39322
84,wind,11.724027,11.724027,0.0,0.0
85,hospital,3.702116,0.891068,-2.811048,2.811048
85,factory,5.117123,0.643529,-4.473595,4.473595
85,office,4.590656,0.0,-4.590656,4.590656
85,houseA,5.162515,0.675908,-4.486607,4.486607
85,houseB,5.877524,2.019898,-3.857626,3.857626
85,sun,10.893536,11.150096,0.25656,0.25656
